course_name,description,prerequisites,corequisites,,,,,,,,,,
DISSERTATION,"Active participation in research, under the supervision of a faculty adviser, leading to a doctoral dissertation. Grades of IP are assigned until the dissertation has been publicly defended, approved by the doctoral committee, and accepted by the Office of Graduate Education to be archived in a standard format in the library. Grades will then be listed as S.",[],[],,,,,,,,,,
DISSERTATION,"Active participation in research, under the supervision of a faculty adviser, leading to a doctoral dissertation. Grades of IP are assigned until the dissertation has been publicly defended, approved by the doctoral committee, and accepted by the Office of Graduate Education to be archived in a standard format in the library. Grades will then be listed as S.",[],[],,,,,,,,,,
INTRO TO CIVIL & ENVE ENGR,"Deals with the practice of civil and environmental engineering. Not a highly analytical course, as the course is primarily intended for first year students. Some topics include: history of civil engineering; present practice; typical employers; typical projects; design philosophy; professional topics including organizations, registrations, ethics. Discuss case histories, bring in outside speakers. Students attend CE Capstone presentations.",[],[],,,,,,,,,,
INTRO TRANSPORTATION ENGINEERI,"Introduction to basic concepts in transportation engineering including planning, design, and operations. Introduces the challenges and issues in modeling transportation problems. Studies of various concepts related to the design of highway facilities, level of service, and demand for transportation services. Concepts related to signal optimization. Policy implications. Basics of transportation planning.",[],[],,,,,,,,,,
INTRO TO GEOTECHNICAL ENGR,"The application of the basic laws and phenomena of science to particulate matter, specifically soils. Basic physical and mechanical structural characteristics of soil. Equilibrium and movement of water. Flow through porous media. Effective stress. Stress-strain-time relations. Basic laboratory work as related to practice.",['ENGR-2530'],[],,,,,,,,,,
INTRO TO GEOTECHNICAL ENGR,"The application of the basic laws and phenomena of science to particulate matter, specifically soils. Basic physical and mechanical structural characteristics of soil. Equilibrium and movement of water. Flow through porous media. Effective stress. Stress-strain-time relations. Basic laboratory work as related to practice.",['ENGR-2530'],[],,,,,,,,,,
INTRO TO GEOTECHNICAL ENGR,"The application of the basic laws and phenomena of science to particulate matter, specifically soils. Basic physical and mechanical structural characteristics of soil. Equilibrium and movement of water. Flow through porous media. Effective stress. Stress-strain-time relations. Basic laboratory work as related to practice.",['ENGR-2530'],[],,,,,,,,,,
INTRO TO GEOTECHNICAL ENGR,"The application of the basic laws and phenomena of science to particulate matter, specifically soils. Basic physical and mechanical structural characteristics of soil. Equilibrium and movement of water. Flow through porous media. Effective stress. Stress-strain-time relations. Basic laboratory work as related to practice.",['ENGR-2530'],[],,,,,,,,,,
INTRO TO GEOTECHNICAL ENGR,"The application of the basic laws and phenomena of science to particulate matter, specifically soils. Basic physical and mechanical structural characteristics of soil. Equilibrium and movement of water. Flow through porous media. Effective stress. Stress-strain-time relations. Basic laboratory work as related to practice.",['ENGR-2530'],[],,,,,,,,,,
INTRO TO GEOTECHNICAL ENGR,"The application of the basic laws and phenomena of science to particulate matter, specifically soils. Basic physical and mechanical structural characteristics of soil. Equilibrium and movement of water. Flow through porous media. Effective stress. Stress-strain-time relations. Basic laboratory work as related to practice.",['ENGR-2530'],[],,,,,,,,,,
INTRO TO GEOTECHNICAL ENGR,"The application of the basic laws and phenomena of science to particulate matter, specifically soils. Basic physical and mechanical structural characteristics of soil. Equilibrium and movement of water. Flow through porous media. Effective stress. Stress-strain-time relations. Basic laboratory work as related to practice.",['ENGR-2530'],[],,,,,,,,,,
INTRO TO GEOTECHNICAL ENGR,"The application of the basic laws and phenomena of science to particulate matter, specifically soils. Basic physical and mechanical structural characteristics of soil. Equilibrium and movement of water. Flow through porous media. Effective stress. Stress-strain-time relations. Basic laboratory work as related to practice.",['ENGR-2530'],[],,,,,,,,,,
INTRO TO GEOTECHNICAL ENGR,"The application of the basic laws and phenomena of science to particulate matter, specifically soils. Basic physical and mechanical structural characteristics of soil. Equilibrium and movement of water. Flow through porous media. Effective stress. Stress-strain-time relations. Basic laboratory work as related to practice.",['ENGR-2530'],[],,,,,,,,,,
INTRO TO GEOTECHNICAL ENGR,"The application of the basic laws and phenomena of science to particulate matter, specifically soils. Basic physical and mechanical structural characteristics of soil. Equilibrium and movement of water. Flow through porous media. Effective stress. Stress-strain-time relations. Basic laboratory work as related to practice.",['ENGR-2530'],[],,,,,,,,,,
INTRO TO STRUCTURAL ENG,Introduction to the elastic behavior of structural components. Analysis of statically determinate systems. Deflection calculations by virtual work and elastic load methods. Analysis of simple statically indeterminate structures. Influence lines. Interaction of structural components. Typical structural engineering loads.,['ENGR-2530'],[],,,,,,,,,,
INTRO TO STRUCTURAL ENG,Introduction to the elastic behavior of structural components. Analysis of statically determinate systems. Deflection calculations by virtual work and elastic load methods. Analysis of simple statically indeterminate structures. Influence lines. Interaction of structural components. Typical structural engineering loads.,['ENGR-2530'],[],,,,,,,,,,
INTRO TO STRUCTURAL ENG,Introduction to the elastic behavior of structural components. Analysis of statically determinate systems. Deflection calculations by virtual work and elastic load methods. Analysis of simple statically indeterminate structures. Influence lines. Interaction of structural components. Typical structural engineering loads.,['ENGR-2530'],[],,,,,,,,,,
INTRO TO STRUCTURAL ENG,Introduction to the elastic behavior of structural components. Analysis of statically determinate systems. Deflection calculations by virtual work and elastic load methods. Analysis of simple statically indeterminate structures. Influence lines. Interaction of structural components. Typical structural engineering loads.,['ENGR-2530'],[],,,,,,,,,,
INTRO TO STRUCTURAL ENG,Introduction to the elastic behavior of structural components. Analysis of statically determinate systems. Deflection calculations by virtual work and elastic load methods. Analysis of simple statically indeterminate structures. Influence lines. Interaction of structural components. Typical structural engineering loads.,['ENGR-2530'],[],,,,,,,,,,
INTRO TO STRUCTURAL ENG,Introduction to the elastic behavior of structural components. Analysis of statically determinate systems. Deflection calculations by virtual work and elastic load methods. Analysis of simple statically indeterminate structures. Influence lines. Interaction of structural components. Typical structural engineering loads.,['ENGR-2530'],[],,,,,,,,,,
INTRO TO STRUCTURAL ENG,Introduction to the elastic behavior of structural components. Analysis of statically determinate systems. Deflection calculations by virtual work and elastic load methods. Analysis of simple statically indeterminate structures. Influence lines. Interaction of structural components. Typical structural engineering loads.,['ENGR-2530'],[],,,,,,,,,,
INTRO TO STRUCTURAL ENG,Introduction to the elastic behavior of structural components. Analysis of statically determinate systems. Deflection calculations by virtual work and elastic load methods. Analysis of simple statically indeterminate structures. Influence lines. Interaction of structural components. Typical structural engineering loads.,['ENGR-2530'],[],,,,,,,,,,
INTRO TO STRUCTURAL ENG,Introduction to the elastic behavior of structural components. Analysis of statically determinate systems. Deflection calculations by virtual work and elastic load methods. Analysis of simple statically indeterminate structures. Influence lines. Interaction of structural components. Typical structural engineering loads.,['ENGR-2530'],[],,,,,,,,,,
INTRO TO STRUCTURAL ENG,Introduction to the elastic behavior of structural components. Analysis of statically determinate systems. Deflection calculations by virtual work and elastic load methods. Analysis of simple statically indeterminate structures. Influence lines. Interaction of structural components. Typical structural engineering loads.,['ENGR-2530'],[],,,,,,,,,,
READINGS IN CIVL,,[],[],,,,,,,,,,
BEDFORD SEMINAR,The seminar will be interdisciplinary with students from both architecture and civil engineering departments. The content of the lectures bears direct relation to practical experience and is considered to be supplementary to the other courses in the respective engineering and architecture schools. Specific types of structures will be examined with the help of suitable existing project examples clarifying and critically analyzing the basic engineering principles behind them. Students will be exposed to the collaborative methods inherent within the architect/engineer relationship.,[],[],,,,,,,,,,
CONCRETE DESIGN,"Analysis and design of reinforced concrete structures using ultimate strength methods. Design of beams, columns, slabs, and footings. Development and anchorage of reinforcing bars. Laboratory testing of hardened concrete mechanical properties.",['CIVL-2670'],[],,,,,,,,,,
GEOTECHNICAL DESIGN,"Second course in geotechnical engineering, emphasizing the use of Laboratory obtained soil properties (consolidation, compressibility, and shear strength) in the design of geotechnical systems such as slope stability, soil structure systems, foundation settlement, etc.",['CIVL-2630'],[],,,,,,,,,,
GEOTECHNICAL DESIGN,"Second course in geotechnical engineering, emphasizing the use of Laboratory obtained soil properties (consolidation, compressibility, and shear strength) in the design of geotechnical systems such as slope stability, soil structure systems, foundation settlement, etc.",['CIVL-2630'],[],,,,,,,,,,
GEOTECHNICAL DESIGN,"Second course in geotechnical engineering, emphasizing the use of Laboratory obtained soil properties (consolidation, compressibility, and shear strength) in the design of geotechnical systems such as slope stability, soil structure systems, foundation settlement, etc.",['CIVL-2630'],[],,,,,,,,,,
GEOTECHNICAL DESIGN,"Second course in geotechnical engineering, emphasizing the use of Laboratory obtained soil properties (consolidation, compressibility, and shear strength) in the design of geotechnical systems such as slope stability, soil structure systems, foundation settlement, etc.",['CIVL-2630'],[],,,,,,,,,,
INTRO TO FINITE ELEMENTS,"An introductory course in use of the Finite Element Method (FEM) to solve one-and two-dimensional problems in fluid mechanics, heat transfer, and elasticity. The methods are developed using weighted residuals. Algorithms for the construction and solution of the governing equations are also covered. Students will be exposed to the use of commercial finite element software.","['ENGR-2250', 'ENGR-2530', 'ECSE-4160']",[],,,,,,,,,,
INTRO TO FINITE ELEMENTS,"An introductory course in use of the Finite Element Method (FEM) to solve one-and two-dimensional problems in fluid mechanics, heat transfer, and elasticity. The methods are developed using weighted residuals. Algorithms for the construction and solution of the governing equations are also covered. Students will be exposed to the use of commercial finite element software.","['ENGR-2250', 'ENGR-2530', 'ECSE-4160']",[],,,,,,,,,,
INTRO TO FINITE ELEMENTS,"An introductory course in use of the Finite Element Method (FEM) to solve one-and two-dimensional problems in fluid mechanics, heat transfer, and elasticity. The methods are developed using weighted residuals. Algorithms for the construction and solution of the governing equations are also covered. Students will be exposed to the use of commercial finite element software.","['ENGR-2250', 'ENGR-2530', 'ECSE-4160']",[],,,,,,,,,,
CONSTRUCTION MANAGEMENT,"Application of engineering principles to planning construction operations. Network scheduling (CPM, PERT), resource allocation. Cost engineering and control.",[],[],,,,,,,,,,
DESIGN FOR CONSTRUCTABILITY,"Design of systems to consider foundations, structures, and constructability; foundation alternatives; structural design to simplify erection; prefabrication, modulation of structures; material handling on a construction site; crane selection and placement; temporary works.","['CIVL-4070', 'CIVL-4080']",[],,,,,,,,,,
MATRIX STRUCTURAL ANALYSIS,"Principles of displacement-based structural analysis; development of element and structure stiffness matrices; direct stiffness method for matrix structural analysis of trusses, beams, and frames; computer analysis of structures; introduction to finite element method.",['CIVL-2670'],[],,,,,,,,,,
CONCEPTUAL STRUCTURAL SYSTEMS,"This course covers concepts of structural systems. The course is aimed at understanding behavior of different structural systems and how they respond to various loading conditions. The concept of load transfer, shaping, and form finding is of particular interest. This concept is reinforced through analytical, digital, and physical modeling intended to foster intuitive thinking. The course includes the following: approximate analyses of statically indeterminate beams, rigid frames, and vierendeel frames; cable suspended structures, arch supported structures; masonry structures, space frame, and folded plate structures; spherical, cylindrical, and hyperbolic shells; net and tent structures; air-supported and air-inflated structures, and hybrid structural systems. The course includes guest lectures, project, computer simulation, and testing physical models.",['CIVL-2670'],[],,,,,,,,,,
SYSTEM MODELING FOR CIVL & ENV,"This course is an applications-oriented course covering basic analytical tools for modeling and optimization of large-scale civil and environmental engineering systems. Application domains that will be discussed include: scheduling in large systems, construction management, multi-purpose reservoir operation, transportation and logistics planning, as well as other civil and environmental engineering systems. An overview of different optimization techniques, with a particular focus on network flow problems and introductory stochastic analysis will be provided. Software to solve these problems will be used throughout the course.",[],[],,,,,,,,,,
MASS TRANSIT SYSTEMS,"The basic concepts of planning, design, and operation of urban mass transit systems. Topics include travel demand, network configurations, communication and control systems, power systems, vehicle technology, guideway and vehicle support, and guidance technology, routing, and scheduling, operating practice, marketing and financing of transit service, interface design, and implementation. These topics are discussed with relation to bus transit systems, guided transit systems, and several new systems. Several case studies examined.",['CIVL-2030'],[],,,,,,,,,,
TRANSPORTATION SYS PLANNING,"Introduction to the analysis and planning of transportation systems. Study of the basic interaction between transportation supply and demand. Role of transportation systems analysis in the social, environmental, and policy making. Trip generation. Trip distribution. Mode split. Traffic Assignment. Computer applications (meets with CIVL 6250 Transportation System Planning). Students cannot obtain credit for this course and CIVL 6250.",['CIVL-2030'],[],,,,,,,,,,
CIVIL ENGR CAPSTONE DESIGN,"Open-ended design project in which students work in teams. Oral presentations and written reports cover alternates considered, design assumptions, cost, safety, and feasibility. This is a communication-intensive course.","['CIVL-4070', 'CIVL-4080', 'CIVL-4010', 'CIVL-4140', 'CIVL-4150', 'CIVL-4620', 'CIVL-4640', 'CIVL-4660', 'CIVL-4670', 'ENVE-4200', 'ENVE-4330', 'ENVE-4340', 'ENVE-4350', 'ENGR-2050']",[],,,,,,,,,,
READINGS IN CIVL,,[],[],,,,,,,,,,
TRANSPORT DATA ACQUIST & ANALY,,[],[],,,,,,,,,,
BEDFORD DIGITAL TOOLS DEV.,,,,,,,,,,,,,
WATER RESOURCES ENGINEERING,,,,,,,,,,,,,
WATER RESOURCES ENGINEERING,,,,,,,,,,,,,
TRANSPORTATION SYS PLANNING,"锘匡豢The analysis and planning of transportation systems. Study of the basic interaction between transportation supply and demand. Role of transportation systems analysis in social, environmental, and policy making. Trip generation. Trip distribution. Mode split. Traffic assignment. Computer applications. Students cannot obtain credit for this course and CIVL 4640.",['CIVL-2030'],[],,,,,,,,,,
ADV STEEL DESIGN,"Advanced analysis and design of complex metal structures. Flexible, semi-rigid, and rigid connections. Plate girders, torsional design. Effects of semi-rigid connections on structural stability.",['CIVL-4070'],[],,,,,,,,,,
BEDFORD DESIGN STUDIO,"Open-ended design project in which students work in teams of four (two engineers and two architects) to replicate the Architecture/Structural Engineering integrated design of buildings. Oral presentations and written reports and studio critics cover alternatives considered, design assumptions, and cost estimates. This is a communication-intensive course.","['CIVL-4020', 'CIVL-6310', 'CIVL-6320']",[],,,,,,,,,,
ADV FOUND AND EARTH STRUC,"The applications of the principles of soil mechanics to the design of foundations, at the graduate level. Subsurface investigation. Design of footings, retaining walls, pile foundations, flexible retaining structures, anchor tie-backs, bridge piers, abutments, embankments, and natural slopes. Slope stability analysis and landslide prevention. Earthquake effects. Case studies.","['CIVL-4010', 'CIVL-4150']",[],,,,,,,,,,
" SEEPAGE,DRAIN & GROUNDWATER","Introduction to groundwater hydrology, well hydraulics, permeability, seepage, flow nets, filter criteria, dewatering, slope stabilization, practical applications.",['CIVL-2630'],[],,,,,,,,,,
CIVIL & ENVE GRADUATE SEMINAR,"Civil and environmental engineering graduate students present seminars about their research to an audience composed of students and faculty, and participate in discussions about the research of others. The course consists of one-hour weekly meetings. The faculty member in charge of the course helps the students develop their presentation and communication skills. M.S. and Ph.D. students are required to take this course once before completion of their terminal degree. This course is not required for M. Eng. students not doing a thesis or project.",[],[],,,,,,,,,,
COLLOQUIUM SERIES,Seminars by distinguished guest speakers. All undergraduates and graduates are strongly encouraged to attend as many lectures as possible.,[],[],,,,,,,,,,
RDGS IN CIVIL ENGR,,[],[],,,,,,,,,,
TRANSPORT DATA ACQUIST ANALYS,,[],[],,,,,,,,,,
MASTER'S PROJECT,"Active participation in a master's-level project, under the supervision of a faculty adviser, leading to a master's project report. Grades S or U are assigned at the end of the semester. If recommended by the adviser, the master's project may be accepted by the Office of Graduate Education to be archived in the library.",[],[],,,,,,,,,,
MASTER'S PROJECT,"Active participation in a master's-level project, under the supervision of a faculty adviser, leading to a master's project report. Grades S or U are assigned at the end of the semester. If recommended by the adviser, the master's project may be accepted by the Office of Graduate Education to be archived in the library.",[],[],,,,,,,,,,
MASTER'S THESIS,"Active participation in research, under the supervision of a faculty adviser, leading to a master's thesis. Grades of S or U are assigned by the adviser each term to reflect the student's research progress for the given semester. Once the thesis has been presented, approved by the adviser, and accepted by the Office of Graduate Education, it will be archived in a standard format in the library.",[],[],,,,,,,,,,
MASTER'S THESIS,"Active participation in research, under the supervision of a faculty adviser, leading to a master's thesis. Grades of S or U are assigned by the adviser each term to reflect the student's research progress for the given semester. Once the thesis has been presented, approved by the adviser, and accepted by the Office of Graduate Education, it will be archived in a standard format in the library.",[],[],,,,,,,,,,
MASTER'S THESIS,"Active participation in research, under the supervision of a faculty adviser, leading to a master's thesis. Grades of S or U are assigned by the adviser each term to reflect the student's research progress for the given semester. Once the thesis has been presented, approved by the adviser, and accepted by the Office of Graduate Education, it will be archived in a standard format in the library.",[],[],,,,,,,,,,
MASTER'S THESIS,"Active participation in research, under the supervision of a faculty adviser, leading to a master's thesis. Grades of S or U are assigned by the adviser each term to reflect the student's research progress for the given semester. Once the thesis has been presented, approved by the adviser, and accepted by the Office of Graduate Education, it will be archived in a standard format in the library.",[],[],,,,,,,,,,
MASTER'S THESIS,"Active participation in research, under the supervision of a faculty adviser, leading to a master's thesis. Grades of S or U are assigned by the adviser each term to reflect the student's research progress for the given semester. Once the thesis has been presented, approved by the adviser, and accepted by the Office of Graduate Education, it will be archived in a standard format in the library.",[],[],,,,,,,,,,
MASTER'S THESIS,"Active participation in research, under the supervision of a faculty adviser, leading to a master's thesis. Grades of S or U are assigned by the adviser each term to reflect the student's research progress for the given semester. Once the thesis has been presented, approved by the adviser, and accepted by the Office of Graduate Education, it will be archived in a standard format in the library.",[],[],,,,,,,,,,
MASTER'S THESIS,"Active participation in research, under the supervision of a faculty adviser, leading to a master's thesis. Grades of S or U are assigned by the adviser each term to reflect the student's research progress for the given semester. Once the thesis has been presented, approved by the adviser, and accepted by the Office of Graduate Education, it will be archived in a standard format in the library.",[],[],,,,,,,,,,
MASTER'S THESIS,"Active participation in research, under the supervision of a faculty adviser, leading to a master's thesis. Grades of S or U are assigned by the adviser each term to reflect the student's research progress for the given semester. Once the thesis has been presented, approved by the adviser, and accepted by the Office of Graduate Education, it will be archived in a standard format in the library.",[],[],,,,,,,,,,
MASTER'S THESIS,"Active participation in research, under the supervision of a faculty adviser, leading to a master's thesis. Grades of S or U are assigned by the adviser each term to reflect the student's research progress for the given semester. Once the thesis has been presented, approved by the adviser, and accepted by the Office of Graduate Education, it will be archived in a standard format in the library.",[],[],,,,,,,,,,
MASTER'S THESIS,"Active participation in research, under the supervision of a faculty adviser, leading to a master's thesis. Grades of S or U are assigned by the adviser each term to reflect the student's research progress for the given semester. Once the thesis has been presented, approved by the adviser, and accepted by the Office of Graduate Education, it will be archived in a standard format in the library.",[],[],,,,,,,,,,
DISSERTATION,"Active participation in research, under the supervision of a faculty adviser, leading to a doctoral dissertation. Grades of IP are assigned until the dissertation has been publicly defended, approved by the doctoral committee, and accepted by the Office of Graduate Education to be archived in a standard format in the library. Grades will then be listed as S.",[],[],,,,,,,,,,
DISSERTATION,"Active participation in research, under the supervision of a faculty adviser, leading to a doctoral dissertation. Grades of IP are assigned until the dissertation has been publicly defended, approved by the doctoral committee, and accepted by the Office of Graduate Education to be archived in a standard format in the library. Grades will then be listed as S.",[],[],,,,,,,,,,
DISSERTATION,"Active participation in research, under the supervision of a faculty adviser, leading to a doctoral dissertation. Grades of IP are assigned until the dissertation has been publicly defended, approved by the doctoral committee, and accepted by the Office of Graduate Education to be archived in a standard format in the library. Grades will then be listed as S.",[],[],,,,,,,,,,
DISSERTATION,"Active participation in research, under the supervision of a faculty adviser, leading to a doctoral dissertation. Grades of IP are assigned until the dissertation has been publicly defended, approved by the doctoral committee, and accepted by the Office of Graduate Education to be archived in a standard format in the library. Grades will then be listed as S.",[],[],,,,,,,,,,
DISSERTATION,"Active participation in research, under the supervision of a faculty adviser, leading to a doctoral dissertation. Grades of IP are assigned until the dissertation has been publicly defended, approved by the doctoral committee, and accepted by the Office of Graduate Education to be archived in a standard format in the library. Grades will then be listed as S.",[],[],,,,,,,,,,
DISSERTATION,"Active participation in research, under the supervision of a faculty adviser, leading to a doctoral dissertation. Grades of IP are assigned until the dissertation has been publicly defended, approved by the doctoral committee, and accepted by the Office of Graduate Education to be archived in a standard format in the library. Grades will then be listed as S.",[],[],,,,,,,,,,
DISSERTATION,"Active participation in research, under the supervision of a faculty adviser, leading to a doctoral dissertation. Grades of IP are assigned until the dissertation has been publicly defended, approved by the doctoral committee, and accepted by the Office of Graduate Education to be archived in a standard format in the library. Grades will then be listed as S.",[],[],,,,,,,,,,
DISSERTATION,"Active participation in research, under the supervision of a faculty adviser, leading to a doctoral dissertation. Grades of IP are assigned until the dissertation has been publicly defended, approved by the doctoral committee, and accepted by the Office of Graduate Education to be archived in a standard format in the library. Grades will then be listed as S.",[],[],,,,,,,,,,
DISSERTATION,"Active participation in research, under the supervision of a faculty adviser, leading to a doctoral dissertation. Grades of IP are assigned until the dissertation has been publicly defended, approved by the doctoral committee, and accepted by the Office of Graduate Education to be archived in a standard format in the library. Grades will then be listed as S.",[],[],,,,,,,,,,
DISSERTATION,"Active participation in research, under the supervision of a faculty adviser, leading to a doctoral dissertation. Grades of IP are assigned until the dissertation has been publicly defended, approved by the doctoral committee, and accepted by the Office of Graduate Education to be archived in a standard format in the library. Grades will then be listed as S.",[],[],,,,,,,,,,
DISSERTATION,"Active participation in research, under the supervision of a faculty adviser, leading to a doctoral dissertation. Grades of IP are assigned until the dissertation has been publicly defended, approved by the doctoral committee, and accepted by the Office of Graduate Education to be archived in a standard format in the library. Grades will then be listed as S.",[],[],,,,,,,,,,
INTRO TO COGNITIVE SCIENCE,"This course is an introduction to the new and quickly growing field of cognitive science. Cognitive Science is a highly interdisciplinary field of study of mind at the intersection of philosophy, psychology, computer science, neuroscience, linguistics, and anthropology.",[],[],,,,,,,,,,
INTRO TO COGNITIVE SCIENCE,"This course is an introduction to the new and quickly growing field of cognitive science. Cognitive Science is a highly interdisciplinary field of study of mind at the intersection of philosophy, psychology, computer science, neuroscience, linguistics, and anthropology.",[],[],,,,,,,,,,
INTRODUCTION TO LINGUISTICS,"This course offers a survey of scientific and applied approaches to the study of human language, highlighting the endlessly surprising nature of this sophisticated mode of communication. A sampling of the topics to be covered: phonology, morphology, syntax, semantics, lexicography, psycholinguistics, and historical linguistics. Lecture course.",[],[],,,,,,,,,,
INTRODUCTION TO LINGUISTICS,"This course offers a survey of scientific and applied approaches to the study of human language, highlighting the endlessly surprising nature of this sophisticated mode of communication. A sampling of the topics to be covered: phonology, morphology, syntax, semantics, lexicography, psycholinguistics, and historical linguistics. Lecture course.",[],[],,,,,,,,,,
INTRODUCTION TO LINGUISTICS,"This course offers a survey of scientific and applied approaches to the study of human language, highlighting the endlessly surprising nature of this sophisticated mode of communication. A sampling of the topics to be covered: phonology, morphology, syntax, semantics, lexicography, psycholinguistics, and historical linguistics. Lecture course.",[],[],,,,,,,,,,
INTRODUCTION TO LINGUISTICS,"This course offers a survey of scientific and applied approaches to the study of human language, highlighting the endlessly surprising nature of this sophisticated mode of communication. A sampling of the topics to be covered: phonology, morphology, syntax, semantics, lexicography, psycholinguistics, and historical linguistics. Lecture course.",[],[],,,,,,,,,,
COGNITIVE MODELING,"Recent advances in Cognitive Science, Computer Science and Mathematics, have resulted in the ability to develop computer programs that implement Probabilistic Cognitive Models (PCMs). The cognitive models that this course covers are based on approximate Bayesian Inference implemented by Markov Chain Monte Carlo and Variational techniques that have made this approach tractable. The objective of this course is to enable the student to develop models of cognition in a Bayesian framework.",['CSCI-2300'],[],,,,,,,,,,
COMPUTATIONAL LINGUISTICS,"This course will explore how linguistics, the scientific study of the properties of human language and languages, can be applied to the development of intelligent agents that can fluently and meaningfully communicate with people in natural language. It will focus on linguistic phenomena that have so far been particularly resistant to effective machine processing, such as lexical ambiguity resolution, reference resolution, ellipsis, indirect speech acts, implicature, and non-literal language (e.g., metaphor and irony).",['COGS-2340'],[],,,,,,,,,,
BEHAVIORAL NEUROSCIENCE,"This course is an introduction to the role of physiological mechanisms in behavioral processes. There will be detailed examination and discussion of the involvement of biological systems in feeding and drinking, sexual behavior, sleep and arousal, learning and memory, psychopathology and psychopharmacology.","['PSYC-1200', 'PHIL-2120']",[],,,,,,,,,,
BEHAVIORAL NEUROSCIENCE,"This course is an introduction to the role of physiological mechanisms in behavioral processes. There will be detailed examination and discussion of the involvement of biological systems in feeding and drinking, sexual behavior, sleep and arousal, learning and memory, psychopathology and psychopharmacology.","['PSYC-1200', 'PHIL-2120']",[],,,,,,,,,,
STRESS AND THE BRAIN,"This seminar course is a detailed examination of the mind-brain relationship, through study of the stress response. Stress is simply defined as any challenge to an individual's homeostasis or balance. This course will explore the neurobiological underpinnings of the stress response, with particular focus on how stressors can alter perception, affective and cognitive processing in the individual, which can in turn feedback to alter the general health of the individual (body and mind/brain).",['PSYC-1200'],[],,,,,,,,,,
LANGUAGE-ENDOWED INTEL AGENTS,"This course will concentrate on the knowledge-based modeling of intelligent agents, with a special emphasis on semantically-oriented language processing. Theoretical and conceptual discussions will be balanced by practical work within the implemented OntoAgent cognitive architecture. It will discuss the modeling of decision-making, the various aspects of natural-language processing, and the art of knowledge engineering.",[],[],,,,,,,,,,
SOCIAL COMPUTING,An advanced course concerned with selected topics in cognitive science.,[],[],,,,,,,,,,
UNDERGRADUATE THESIS,"Students conduct original scholarly projects: original research, theoretical or analytical reviews of the literature, or computer simulations. Students prepare written reports relating to this project, under the supervision of a faculty member.",[],[],,,,,,,,,,
UNDERGRADUATE THESIS,"Students conduct original scholarly projects: original research, theoretical or analytical reviews of the literature, or computer simulations. Students prepare written reports relating to this project, under the supervision of a faculty member.",[],[],,,,,,,,,,
UNDERGRADUATE THESIS,"Students conduct original scholarly projects: original research, theoretical or analytical reviews of the literature, or computer simulations. Students prepare written reports relating to this project, under the supervision of a faculty member.",[],[],,,,,,,,,,
UNDERGRADUATE THESIS,"Students conduct original scholarly projects: original research, theoretical or analytical reviews of the literature, or computer simulations. Students prepare written reports relating to this project, under the supervision of a faculty member.",[],[],,,,,,,,,,
UNDERGRADUATE THESIS,"Students conduct original scholarly projects: original research, theoretical or analytical reviews of the literature, or computer simulations. Students prepare written reports relating to this project, under the supervision of a faculty member.",[],[],,,,,,,,,,
UNDERGRADUATE THESIS,"Students conduct original scholarly projects: original research, theoretical or analytical reviews of the literature, or computer simulations. Students prepare written reports relating to this project, under the supervision of a faculty member.",[],[],,,,,,,,,,
UNDERGRADUATE THESIS,"Students conduct original scholarly projects: original research, theoretical or analytical reviews of the literature, or computer simulations. Students prepare written reports relating to this project, under the supervision of a faculty member.",[],[],,,,,,,,,,
UNDERGRADUATE THESIS,"Students conduct original scholarly projects: original research, theoretical or analytical reviews of the literature, or computer simulations. Students prepare written reports relating to this project, under the supervision of a faculty member.",[],[],,,,,,,,,,
UNDERGRADUATE THESIS,"Students conduct original scholarly projects: original research, theoretical or analytical reviews of the literature, or computer simulations. Students prepare written reports relating to this project, under the supervision of a faculty member.",[],[],,,,,,,,,,
UNDERGRADUATE THESIS,"Students conduct original scholarly projects: original research, theoretical or analytical reviews of the literature, or computer simulations. Students prepare written reports relating to this project, under the supervision of a faculty member.",[],[],,,,,,,,,,
COGNITIVE MODELING I,"This is a graduate level course that introduces the student to computational cognitive modeling. Cognitive modeling is the simulation of human cognitive, perceptual, and motor processes based on a cognitive architecture. The benefit of cognitive modeling is that it facilitates the testing of ideas about human processes through comparison of model data with empirical data. This course covers ACT-R, a symbolic architecture and LEABRA, a neural-level architecture.",[],[],,,,,,,,,,
COMPUTATIONAL LINGUISTICS,"This course will explore how linguistics, the scientific study of the properties of human language and languages, can be applied to the development of intelligent agents that can fluently and meaningfully communicate with people in natural language. It will focus on linguistic phenomena that have so far been particularly resistant to effective machine processing, such as lexical ambiguity resolution, reference resolution, ellipsis, indirect speech acts, implicature, and non-literal language (e.g., metaphor and irony).",[],[],,,,,,,,,,
LANGUAGE-ENDOWED INTEL AGENTS,"This course will concentrate on the knowledge-based modeling of intelligent agents, with a special emphasis on semantically-oriented language processing. Theoretical and conceptual discussions will be balanced by practical work within the implemented OntoAgent cognitive architecture. The course will cover the modeling of decision-making, the various aspects of natural-language processing, and the art of knowledge engineering.",[],[],,,,,,,,,,
SOCIAL COMPUTING,An advanced course concerned with selected topics in cognitive science.,[],[],,,,,,,,,,
RESEARCH PROBLEMS IN COG SCI,,,,,,,,,,,,,
TOPICS IN COMPUTATIONAL PSYC,,,,,,,,,,,,,
EXPERTISE & EVENT PROCESSING,,,,,,,,,,,,,
