course_name,course_type,course_credit_hours,course_days_of_the_week,course_start_time,course_end_time,course_instructor,course_location,course_max_enroll,course_enrolled,course_remained,course_department,course_start_date,course_end_date,semester,course_crn,course_level,course_section,short_name,full_name,description,raw_precoreqs,offer_frequency,prerequisites,corequisites
DISSERTATION,LEC,1-15,,,,Hendler,,10,0,10,COGS,2020-08-28,2020-12-21,FALL 2020,27728,9990,05,COGS-9990,Doctoral Thesis,"Active participation in research, under the supervision of a faculty adviser, leading to a doctoral dissertation. Grades of S or U are assigned by the adviser each term to reflect the  student's research progress for the given semester. Once the  dissertation has been publicly defended, approved by the doctoral  committee, and accepted by the Office of Graduate Education, it will be  archived in a standard format in the library.",,Fall and spring terms annually.,[],[]
DISSERTATION,LEC,1-15,,,,Sun,,10,2,8,COGS,2020-08-28,2020-12-21,FALL 2020,27792,9990,06,COGS-9990,Doctoral Thesis,"Active participation in research, under the supervision of a faculty adviser, leading to a doctoral dissertation. Grades of S or U are assigned by the adviser each term to reflect the  student's research progress for the given semester. Once the  dissertation has been publicly defended, approved by the doctoral  committee, and accepted by the Office of Graduate Education, it will be  archived in a standard format in the library.",,Fall and spring terms annually.,[],[]
DISSERTATION,LEC,1-15,,,,Kalsher,,10,0,10,COGS,2020-08-28,2020-12-21,FALL 2020,28088,9990,07,COGS-9990,Doctoral Thesis,"Active participation in research, under the supervision of a faculty adviser, leading to a doctoral dissertation. Grades of S or U are assigned by the adviser each term to reflect the  student's research progress for the given semester. Once the  dissertation has been publicly defended, approved by the doctoral  committee, and accepted by the Office of Graduate Education, it will be  archived in a standard format in the library.",,Fall and spring terms annually.,[],[]
DISSERTATION,LEC,1-15,,,,Sims,,10,0,10,COGS,2020-08-28,2020-12-21,FALL 2020,28089,9990,08,COGS-9990,Doctoral Thesis,"Active participation in research, under the supervision of a faculty adviser, leading to a doctoral dissertation. Grades of S or U are assigned by the adviser each term to reflect the  student's research progress for the given semester. Once the  dissertation has been publicly defended, approved by the doctoral  committee, and accepted by the Office of Graduate Education, it will be  archived in a standard format in the library.",,Fall and spring terms annually.,[],[]
DISSERTATION,LEC,1-15,,,,Nirenburg,,10,1,9,COGS,2020-08-28,2020-12-21,FALL 2020,28118,9990,09,COGS-9990,Doctoral Thesis,"Active participation in research, under the supervision of a faculty adviser, leading to a doctoral dissertation. Grades of S or U are assigned by the adviser each term to reflect the  student's research progress for the given semester. Once the  dissertation has been publicly defended, approved by the doctoral  committee, and accepted by the Office of Graduate Education, it will be  archived in a standard format in the library.",,Fall and spring terms annually.,[],[]
DISSERTATION,,1-15,,,,McShane,,10,0,10,COGS,2020-08-28,2020-12-21,FALL 2020,30256,9990,10,COGS-9990,Doctoral Thesis,"Active participation in research, under the supervision of a faculty adviser, leading to a doctoral dissertation. Grades of S or U are assigned by the adviser each term to reflect the  student's research progress for the given semester. Once the  dissertation has been publicly defended, approved by the doctoral  committee, and accepted by the Office of Graduate Education, it will be  archived in a standard format in the library.",,Fall and spring terms annually.,[],[]
DISSERTATION,,1-15,,,,Si,,10,2,8,COGS,2020-08-28,2020-12-21,FALL 2020,30257,9990,11,COGS-9990,Doctoral Thesis,"Active participation in research, under the supervision of a faculty adviser, leading to a doctoral dissertation. Grades of S or U are assigned by the adviser each term to reflect the  student's research progress for the given semester. Once the  dissertation has been publicly defended, approved by the doctoral  committee, and accepted by the Office of Graduate Education, it will be  archived in a standard format in the library.",,Fall and spring terms annually.,[],[]
DISSERTATION,,1-15,,,,Strzalkows,,10,0,10,COGS,2020-08-28,2020-12-21,FALL 2020,30258,9990,12,COGS-9990,Doctoral Thesis,"Active participation in research, under the supervision of a faculty adviser, leading to a doctoral dissertation. Grades of S or U are assigned by the adviser each term to reflect the  student's research progress for the given semester. Once the  dissertation has been publicly defended, approved by the doctoral  committee, and accepted by the Office of Graduate Education, it will be  archived in a standard format in the library.",,Fall and spring terms annually.,[],[]
EFF COMM FOR CLASS PEDAGOGY,LEC,1,MR,4:00PM,5:50PM,Staff,,20,0,20,COMM,2020-08-28,2020-12-21,FALL 2020,28886,1960,01,COMM-1960,,,,,,
EFF COMM FOR CLASS PEDAGOGY,LEC,1,MR,6:00PM,7:50PM,Staff,,20,0,20,COMM,2020-08-28,2020-12-21,FALL 2020,29829,1960,02,COMM-1960,,,,,,
PERSPECTIVES ON PHOTOGRAPHY,LEC,4,TF,2:00PM,3:50PM,Esrock,,13,13,0,COMM,2020-08-28,2020-12-21,FALL 2020,29517,2410,01,COMM-2410,Perspectives on Photography,"This course helps students understand the meaning and emotional complexity of visual images in their culture. Students examine photographic imagery through three perspectives. The first—formal—addresses the design components of the image, such as vantage point and contrast. The second—psychodynamic—concerns the emotional dynamics of viewing. The third—social political— explores photographs as instruments for preserving or challenging cultural values. No technical knowledge of photography is needed.",,Fall and spring terms annually.,[],[]
PERSPECTIVES ON PHOTOGRAPHY,LEC,4,TF,2:00PM,3:50PM,Esrock,,3,3,0,COMM,2020-08-28,2020-12-21,FALL 2020,29518,2410,02,COMM-2410,Perspectives on Photography,"This course helps students understand the meaning and emotional complexity of visual images in their culture. Students examine photographic imagery through three perspectives. The first—formal—addresses the design components of the image, such as vantage point and contrast. The second—psychodynamic—concerns the emotional dynamics of viewing. The third—social political— explores photographs as instruments for preserving or challenging cultural values. No technical knowledge of photography is needed.",,Fall and spring terms annually.,[],[]
COMMUNICATION THEORY & PRAC.,LEC,4,MR,12:00PM,1:50PM,Spina-Caza,,3,1,2,COMM,2020-08-28,2020-12-21,FALL 2020,29456,2520,01,COMM-2520,Communication Theory and Practice,"This course introduces students to basic topics in communication theory and research. It includes topics in interpersonal, group, organizational, mediated, and mass communication. Students will study and apply theories to real world situations and events and explore the social and cultural impact of new media technology. This is a communication-intensive course.",,Fall and spring terms annually.,[],[]
COMMUNICATION THEORY & PRAC.,LEC,4,MR,12:00PM,1:50PM,Spina-Caza,,16,16,0,COMM,2020-08-28,2020-12-21,FALL 2020,29457,2520,02,COMM-2520,Communication Theory and Practice,"This course introduces students to basic topics in communication theory and research. It includes topics in interpersonal, group, organizational, mediated, and mass communication. Students will study and apply theories to real world situations and events and explore the social and cultural impact of new media technology. This is a communication-intensive course.",,Fall and spring terms annually.,[],[]
COMMUNICATION THEORY & PRAC.,LEC,4,MR,10:00AM,11:50AM,Spina-Caza,,3,1,2,COMM,2020-08-28,2020-12-21,FALL 2020,29458,2520,03,COMM-2520,Communication Theory and Practice,"This course introduces students to basic topics in communication theory and research. It includes topics in interpersonal, group, organizational, mediated, and mass communication. Students will study and apply theories to real world situations and events and explore the social and cultural impact of new media technology. This is a communication-intensive course.",,Fall and spring terms annually.,[],[]
COMMUNICATION THEORY & PRAC.,LEC,4,MR,10:00AM,11:50AM,Spina-Caza,,0,0,0,COMM,2020-08-28,2020-12-21,FALL 2020,29459,2520,04,COMM-2520,Communication Theory and Practice,"This course introduces students to basic topics in communication theory and research. It includes topics in interpersonal, group, organizational, mediated, and mass communication. Students will study and apply theories to real world situations and events and explore the social and cultural impact of new media technology. This is a communication-intensive course.",,Fall and spring terms annually.,[],[]
COMMUNICATION THEORY & PRAC.,LEC,4,TF,10:00AM,11:50AM,Ran,,0,1,-1,COMM,2020-08-28,2020-12-21,FALL 2020,29460,2520,05,COMM-2520,Communication Theory and Practice,"This course introduces students to basic topics in communication theory and research. It includes topics in interpersonal, group, organizational, mediated, and mass communication. Students will study and apply theories to real world situations and events and explore the social and cultural impact of new media technology. This is a communication-intensive course.",,Fall and spring terms annually.,[],[]
COMMUNICATION THEORY & PRAC.,LEC,4,TF,10:00AM,11:50AM,Ran,,3,3,0,COMM,2020-08-28,2020-12-21,FALL 2020,29461,2520,06,COMM-2520,Communication Theory and Practice,"This course introduces students to basic topics in communication theory and research. It includes topics in interpersonal, group, organizational, mediated, and mass communication. Students will study and apply theories to real world situations and events and explore the social and cultural impact of new media technology. This is a communication-intensive course.",,Fall and spring terms annually.,[],[]
COMMUNICATION THEORY & PRAC.,LEC,4,TF,2:00PM,3:50PM,Ran,,0,0,0,COMM,2020-08-28,2020-12-21,FALL 2020,29521,2520,07,COMM-2520,Communication Theory and Practice,"This course introduces students to basic topics in communication theory and research. It includes topics in interpersonal, group, organizational, mediated, and mass communication. Students will study and apply theories to real world situations and events and explore the social and cultural impact of new media technology. This is a communication-intensive course.",,Fall and spring terms annually.,[],[]
COMMUNICATION THEORY & PRAC.,LEC,4,TF,2:00PM,3:50PM,Ran,,3,0,3,COMM,2020-08-28,2020-12-21,FALL 2020,29522,2520,08,COMM-2520,Communication Theory and Practice,"This course introduces students to basic topics in communication theory and research. It includes topics in interpersonal, group, organizational, mediated, and mass communication. Students will study and apply theories to real world situations and events and explore the social and cultural impact of new media technology. This is a communication-intensive course.",,Fall and spring terms annually.,[],[]
INTRODUCTION TO GRAPHIC DESIGN,LEC,4,MR,8:00AM,9:50AM,Tack,,15,15,0,COMM,2020-08-28,2020-12-21,FALL 2020,28923,2660,01,COMM-2660,Introduction to Graphic Design,"This course introduces students to the practice of graphic design with a variety of hands-on projects. Studies include the principles and theories of 2D design and the integration of form, color, type, image, and content. Students will develop a heightened visual awareness and an understanding of how design influences meaning. The course emphasizes strategic and critical thinking in the solving of graphic design problems for the purposes of professional communication across a range of media platforms.",,Fall term annually.,[],[]
INTRODUCTION TO GRAPHIC DESIGN,LEC,4,MR,8:00AM,9:50AM,Tack,,4,4,0,COMM,2020-08-28,2020-12-21,FALL 2020,29367,2660,02,COMM-2660,Introduction to Graphic Design,"This course introduces students to the practice of graphic design with a variety of hands-on projects. Studies include the principles and theories of 2D design and the integration of form, color, type, image, and content. Students will develop a heightened visual awareness and an understanding of how design influences meaning. The course emphasizes strategic and critical thinking in the solving of graphic design problems for the purposes of professional communication across a range of media platforms.",,Fall term annually.,[],[]
READINGS IN COMM,,1-4,,,,Staff,,0,0,0,COMM,2020-08-28,2020-12-21,FALL 2020,26767,2940,00,COMM-2940,Communication Studies,Readings and projects adapted to the needs of individual students.,,,[],[]
2-D MOTION GRAPHICS,LEC,4,MR,10:00AM,11:50AM,Tack,,15,15,0,COMM,2020-08-28,2020-12-21,FALL 2020,29587,2960,01,COMM-2960,Topics in Communication,Experimental courses tried out in one or two terms.,,,[],[]
WRITING FOR GAMES II,LEC,4,MR,12:00PM,1:50PM,Suckling,,19,7,12,COMM,2020-08-28,2020-12-21,FALL 2020,28019,4250,01,COMM-4250,Writing for Games II,"This is the third course in the central track of the Writing concentration for GSAS students. In this course, students gain exposure to elements of the bigger creative picture, including intellectual property (IP) development, world-building, and original character design. Students also continue to refine their competency in game writing essentials while exploring complex game narrative challenges such as branching, open-world, and other non-linear structures.",COMM 4240.,Fall term annually.,['COMM-4240'],['COMM-4240']
CREATIVE SEMINAR I,,4,TF,10:00AM,11:50AM,Ruzanka,,19,8,11,COMM,2020-08-28,2020-12-21,FALL 2020,30162,4340,01,COMM-4340,Creative Seminar I,This course is for senior EMAC and EART majors and is the core creative forum for the development and presentation of the senior thesis. The course is the first part of a two-semester study provided in two seminar courses. The focus of the course is to develop a proposal for a written thesis and a creative project that students will execute in the second seminar and exhibit in an exhibition.,Senior EMAC and EART majors only.,Fall term annually.,[],[]
FOUNDATIONS OF HCI USABILITY,STU,4,MR,10:00AM,11:50AM,Kimball,,30,20,10,COMM,2020-08-28,2020-12-21,FALL 2020,28943,4420,01,COMM-4420,Foundations of HCI Usability,"In this course, students will consider methods of gathering users' requirements for product functions and information, ways to test products and information for usability and suitability, and procedures for incorporating the results learned through testing. Students will design and conduct usability tests on products, documents, and interfaces of interest.",,Fall term annually.,[],[]
FOUNDATIONS OF HCI USABILITY,STU,4,MR,2:00PM,3:50PM,Kimball,,30,17,13,COMM,2020-08-28,2020-12-21,FALL 2020,29354,4420,02,COMM-4420,Foundations of HCI Usability,"In this course, students will consider methods of gathering users' requirements for product functions and information, ways to test products and information for usability and suitability, and procedures for incorporating the results learned through testing. Students will design and conduct usability tests on products, documents, and interfaces of interest.",,Fall term annually.,[],[]
VISUAL DESIGN,,4,TF,10:00AM,11:50AM,Search,,13,14,-1,COMM,2020-08-28,2020-12-21,FALL 2020,30163,4460,01,COMM-4460,Visual Design: Theory and Application,"This course introduces students to the theoretical and practical use of graphics as a form of visual communication. Discussions include topics such as the psychology of visual perception, design theory, creative process, formatted text, and graphics. Students have an opportunity to put theory into practice using computer graphics.",,Upon availability of instructor.,[],[]
VISUAL DESIGN,,4,TF,10:00AM,11:50AM,Search,,3,3,0,COMM,2020-08-28,2020-12-21,FALL 2020,30164,4460,02,COMM-4460,Visual Design: Theory and Application,"This course introduces students to the theoretical and practical use of graphics as a form of visual communication. Discussions include topics such as the psychology of visual perception, design theory, creative process, formatted text, and graphics. Students have an opportunity to put theory into practice using computer graphics.",,Upon availability of instructor.,[],[]
ADVERTISING AND CULTURE,,4,TF,12:00PM,1:50PM,Deery,,19,20,-1,COMM,2020-08-28,2020-12-21,FALL 2020,30285,4580,01,COMM-4580,Advertising and Culture,"An examination of the cultural impact of advertising in various media: TV, radio, print, and the Web. How does advertising inform human experience and identity? How has it shaped the culture? Who pays for it and why? Note: This is not a How-To course. The focus is critical analysis, not acquiring skills for producing advertising. This is a communication-intensive course.",,Spring term even-numbered years.,[],[]
READINGS IN COMM,,1-6,,,,Staff,,0,0,0,COMM,2020-08-28,2020-12-21,FALL 2020,26768,4940,00,COMM-4940,Communication Studies,Readings and projects adapted to the needs of individual students.,,,[],[]
SOCIAL MEDIA & STRATEGIC COMM,LEC,4,TF,12:00PM,1:50PM,Ran,,19,16,3,COMM,2020-08-28,2020-12-21,FALL 2020,30278,4960,01,COMM-4960,Topics in Communication,Experimental courses tried out in one or two terms.,,,[],[]
FOUNDATIONS OF HCI USABILITY,STU,3,MR,10:00AM,11:50AM,Kimball,,11,11,0,COMM,2020-08-28,2020-12-21,FALL 2020,28944,6420,01,COMM-6420,Foundations of Human-Computer Interaction Usability,"This course will consider methods for gathering users' requirements for product functions and information, ways to test products and information for usability and suitability, and procedures for incorporating the results learned through testing. Students will design and conduct usability tests on products, documents, and interfaces of interest.",,Fall term annually.,[],[]
FOUNDATIONS OF HCI USABILITY,STU,3,MR,2:00PM,3:50PM,Kimball,,11,12,-1,COMM,2020-08-28,2020-12-21,FALL 2020,29355,6420,02,COMM-6420,Foundations of Human-Computer Interaction Usability,"This course will consider methods for gathering users' requirements for product functions and information, ways to test products and information for usability and suitability, and procedures for incorporating the results learned through testing. Students will design and conduct usability tests on products, documents, and interfaces of interest.",,Fall term annually.,[],[]
VISUAL DESIGN THEORY & APPLICA,,3,TF,10:00AM,11:50AM,Search,,3,3,0,COMM,2020-08-28,2020-12-21,FALL 2020,30165,6560,01,COMM-6560,Visual Design: Theory and Application,"This course introduces students to the theoretical and practical use of graphics as a form of visual communication. Discussions include such topics as visual perception, design theory, formatted text, and graphics. Students have an opportunity to put theory into practice using computer graphics software.",,Upon availability of instructor.,[],[]
STUDIES IN COMMUNICATION,,1-6,,,,Staff,,0,0,0,COMM,2020-08-28,2020-12-21,FALL 2020,26769,6940,00,COMM-6940,Communication Studies,Readings and projects adapted to the needs of individual students.,,,[],[]
PERSPECTIVES ON PHOTOGRAPHY,LEC,3,TF,2:00PM,3:50PM,Esrock,,3,1,2,COMM,2020-08-28,2020-12-21,FALL 2020,30279,6960,01,COMM-6960,Topics in Communication,Experimental courses tried out in one or two terms.,,,[],[]
DISSERTATION,LEC,1-15,,,,Esrock,,10,1,9,COMM,2020-08-28,2020-12-21,FALL 2020,27028,9990,01,COMM-9990,Dissertation,"Active participation in research, under the supervision of a faculty adviser, leading to a doctoral dissertation. Grades of IP are assigned until the dissertation has been publicly defended, approved by the doctoral committee, and accepted by the Office of Graduate Education to be archived in a standard format in the library. Grades will then be listed as S.",,,[],[]
DISSERTATION,LEC,1-15,,,,Zappen,,10,0,10,COMM,2020-08-28,2020-12-21,FALL 2020,26032,9990,02,COMM-9990,Dissertation,"Active participation in research, under the supervision of a faculty adviser, leading to a doctoral dissertation. Grades of IP are assigned until the dissertation has been publicly defended, approved by the doctoral committee, and accepted by the Office of Graduate Education to be archived in a standard format in the library. Grades will then be listed as S.",,,[],[]
DISSERTATION,LEC,1-15,,,,Deery,,10,0,10,COMM,2020-08-28,2020-12-21,FALL 2020,27776,9990,03,COMM-9990,Dissertation,"Active participation in research, under the supervision of a faculty adviser, leading to a doctoral dissertation. Grades of IP are assigned until the dissertation has been publicly defended, approved by the doctoral committee, and accepted by the Office of Graduate Education to be archived in a standard format in the library. Grades will then be listed as S.",,,[],[]
DISSERTATION,LEC,1-15,,,,Search,,10,1,9,COMM,2020-08-28,2020-12-21,FALL 2020,29322,9990,04,COMM-9990,Dissertation,"Active participation in research, under the supervision of a faculty adviser, leading to a doctoral dissertation. Grades of IP are assigned until the dissertation has been publicly defended, approved by the doctoral committee, and accepted by the Office of Graduate Education to be archived in a standard format in the library. Grades will then be listed as S.",,,[],[]
DISSERTATION,LEC,1-15,,,,Gordon,,10,2,8,COMM,2020-08-28,2020-12-21,FALL 2020,26103,9990,05,COMM-9990,Dissertation,"Active participation in research, under the supervision of a faculty adviser, leading to a doctoral dissertation. Grades of IP are assigned until the dissertation has been publicly defended, approved by the doctoral committee, and accepted by the Office of Graduate Education to be archived in a standard format in the library. Grades will then be listed as S.",,,[],[]
DISSERTATION,,1-15,,,,Kimball,,10,2,8,COMM,2020-08-28,2020-12-21,FALL 2020,30259,9990,06,COMM-9990,Dissertation,"Active participation in research, under the supervision of a faculty adviser, leading to a doctoral dissertation. Grades of IP are assigned until the dissertation has been publicly defended, approved by the doctoral committee, and accepted by the Office of Graduate Education to be archived in a standard format in the library. Grades will then be listed as S.",,,[],[]
COMPUTER SCIENCE I,LEC,4,MR,2:00PM,3:20PM,Turner/Hulbert,,30,16,14,CSCI,2020-08-28,2020-12-21,FALL 2020,25564,1100,01,CSCI-1100,Computer Science I,"An introduction to computer programming algorithm design and analysis. Additional topics include basic computer organization; internal representation of scalar and array data; use of top-down design and subprograms to tackle complex problems; abstract data types. Enrichment material as time allows. Interdisciplinary case studies, numerical and nonnumerical applications. Students who have passed CSCI 1200 cannot register for this course.",,"Fall, spring, and summer terms annually.",[],[]
COMPUTER SCIENCE I,LAB,4,T,10:00AM,11:50AM,Staff,,30,16,14,CSCI,2020-08-28,2020-12-21,FALL 2020,25564,1100,01,CSCI-1100,Computer Science I,"An introduction to computer programming algorithm design and analysis. Additional topics include basic computer organization; internal representation of scalar and array data; use of top-down design and subprograms to tackle complex problems; abstract data types. Enrichment material as time allows. Interdisciplinary case studies, numerical and nonnumerical applications. Students who have passed CSCI 1200 cannot register for this course.",,"Fall, spring, and summer terms annually.",[],[]
COMPUTER SCIENCE I,TES,4,R,6:00PM,7:50PM,Staff,,30,16,14,CSCI,2020-08-28,2020-12-21,FALL 2020,25564,1100,01,CSCI-1100,Computer Science I,"An introduction to computer programming algorithm design and analysis. Additional topics include basic computer organization; internal representation of scalar and array data; use of top-down design and subprograms to tackle complex problems; abstract data types. Enrichment material as time allows. Interdisciplinary case studies, numerical and nonnumerical applications. Students who have passed CSCI 1200 cannot register for this course.",,"Fall, spring, and summer terms annually.",[],[]
COMPUTER SCIENCE I,LEC,4,MR,2:00PM,3:20PM,Turner/Hulbert,,36,2,34,CSCI,2020-08-28,2020-12-21,FALL 2020,25905,1100,02,CSCI-1100,Computer Science I,"An introduction to computer programming algorithm design and analysis. Additional topics include basic computer organization; internal representation of scalar and array data; use of top-down design and subprograms to tackle complex problems; abstract data types. Enrichment material as time allows. Interdisciplinary case studies, numerical and nonnumerical applications. Students who have passed CSCI 1200 cannot register for this course.",,"Fall, spring, and summer terms annually.",[],[]
COMPUTER SCIENCE I,LAB,4,T,10:00AM,11:50AM,Staff,,36,2,34,CSCI,2020-08-28,2020-12-21,FALL 2020,25905,1100,02,CSCI-1100,Computer Science I,"An introduction to computer programming algorithm design and analysis. Additional topics include basic computer organization; internal representation of scalar and array data; use of top-down design and subprograms to tackle complex problems; abstract data types. Enrichment material as time allows. Interdisciplinary case studies, numerical and nonnumerical applications. Students who have passed CSCI 1200 cannot register for this course.",,"Fall, spring, and summer terms annually.",[],[]
COMPUTER SCIENCE I,TES,4,R,6:00PM,7:50PM,Staff,,36,2,34,CSCI,2020-08-28,2020-12-21,FALL 2020,25905,1100,02,CSCI-1100,Computer Science I,"An introduction to computer programming algorithm design and analysis. Additional topics include basic computer organization; internal representation of scalar and array data; use of top-down design and subprograms to tackle complex problems; abstract data types. Enrichment material as time allows. Interdisciplinary case studies, numerical and nonnumerical applications. Students who have passed CSCI 1200 cannot register for this course.",,"Fall, spring, and summer terms annually.",[],[]
COMPUTER SCIENCE I,LEC,4,MR,2:00PM,3:20PM,Turner/Hulbert,,34,6,28,CSCI,2020-08-28,2020-12-21,FALL 2020,25906,1100,03,CSCI-1100,Computer Science I,"An introduction to computer programming algorithm design and analysis. Additional topics include basic computer organization; internal representation of scalar and array data; use of top-down design and subprograms to tackle complex problems; abstract data types. Enrichment material as time allows. Interdisciplinary case studies, numerical and nonnumerical applications. Students who have passed CSCI 1200 cannot register for this course.",,"Fall, spring, and summer terms annually.",[],[]
COMPUTER SCIENCE I,LAB,4,T,12:00PM,1:50PM,Staff,,34,6,28,CSCI,2020-08-28,2020-12-21,FALL 2020,25906,1100,03,CSCI-1100,Computer Science I,"An introduction to computer programming algorithm design and analysis. Additional topics include basic computer organization; internal representation of scalar and array data; use of top-down design and subprograms to tackle complex problems; abstract data types. Enrichment material as time allows. Interdisciplinary case studies, numerical and nonnumerical applications. Students who have passed CSCI 1200 cannot register for this course.",,"Fall, spring, and summer terms annually.",[],[]
COMPUTER SCIENCE I,TES,4,R,6:00PM,7:50PM,Staff,,34,6,28,CSCI,2020-08-28,2020-12-21,FALL 2020,25906,1100,03,CSCI-1100,Computer Science I,"An introduction to computer programming algorithm design and analysis. Additional topics include basic computer organization; internal representation of scalar and array data; use of top-down design and subprograms to tackle complex problems; abstract data types. Enrichment material as time allows. Interdisciplinary case studies, numerical and nonnumerical applications. Students who have passed CSCI 1200 cannot register for this course.",,"Fall, spring, and summer terms annually.",[],[]
COMPUTER SCIENCE I,LEC,4,MR,2:00PM,3:20PM,Turner/Hulbert,,40,8,32,CSCI,2020-08-28,2020-12-21,FALL 2020,27729,1100,04,CSCI-1100,Computer Science I,"An introduction to computer programming algorithm design and analysis. Additional topics include basic computer organization; internal representation of scalar and array data; use of top-down design and subprograms to tackle complex problems; abstract data types. Enrichment material as time allows. Interdisciplinary case studies, numerical and nonnumerical applications. Students who have passed CSCI 1200 cannot register for this course.",,"Fall, spring, and summer terms annually.",[],[]
COMPUTER SCIENCE I,LAB,4,W,10:00AM,11:50AM,Staff,,40,8,32,CSCI,2020-08-28,2020-12-21,FALL 2020,27729,1100,04,CSCI-1100,Computer Science I,"An introduction to computer programming algorithm design and analysis. Additional topics include basic computer organization; internal representation of scalar and array data; use of top-down design and subprograms to tackle complex problems; abstract data types. Enrichment material as time allows. Interdisciplinary case studies, numerical and nonnumerical applications. Students who have passed CSCI 1200 cannot register for this course.",,"Fall, spring, and summer terms annually.",[],[]
COMPUTER SCIENCE I,TES,4,R,6:00PM,7:50PM,Staff,,40,8,32,CSCI,2020-08-28,2020-12-21,FALL 2020,27729,1100,04,CSCI-1100,Computer Science I,"An introduction to computer programming algorithm design and analysis. Additional topics include basic computer organization; internal representation of scalar and array data; use of top-down design and subprograms to tackle complex problems; abstract data types. Enrichment material as time allows. Interdisciplinary case studies, numerical and nonnumerical applications. Students who have passed CSCI 1200 cannot register for this course.",,"Fall, spring, and summer terms annually.",[],[]
COMPUTER SCIENCE I,LEC,4,MR,2:00PM,3:20PM,Turner/Hulbert,,40,5,35,CSCI,2020-08-28,2020-12-21,FALL 2020,27730,1100,05,CSCI-1100,Computer Science I,"An introduction to computer programming algorithm design and analysis. Additional topics include basic computer organization; internal representation of scalar and array data; use of top-down design and subprograms to tackle complex problems; abstract data types. Enrichment material as time allows. Interdisciplinary case studies, numerical and nonnumerical applications. Students who have passed CSCI 1200 cannot register for this course.",,"Fall, spring, and summer terms annually.",[],[]
COMPUTER SCIENCE I,LAB,4,W,12:00PM,1:50PM,Staff,,40,5,35,CSCI,2020-08-28,2020-12-21,FALL 2020,27730,1100,05,CSCI-1100,Computer Science I,"An introduction to computer programming algorithm design and analysis. Additional topics include basic computer organization; internal representation of scalar and array data; use of top-down design and subprograms to tackle complex problems; abstract data types. Enrichment material as time allows. Interdisciplinary case studies, numerical and nonnumerical applications. Students who have passed CSCI 1200 cannot register for this course.",,"Fall, spring, and summer terms annually.",[],[]
COMPUTER SCIENCE I,TES,4,R,6:00PM,7:50PM,Staff,,40,5,35,CSCI,2020-08-28,2020-12-21,FALL 2020,27730,1100,05,CSCI-1100,Computer Science I,"An introduction to computer programming algorithm design and analysis. Additional topics include basic computer organization; internal representation of scalar and array data; use of top-down design and subprograms to tackle complex problems; abstract data types. Enrichment material as time allows. Interdisciplinary case studies, numerical and nonnumerical applications. Students who have passed CSCI 1200 cannot register for this course.",,"Fall, spring, and summer terms annually.",[],[]
COMPUTER SCIENCE I,LEC,4,MR,2:00PM,3:20PM,Turner/Hulbert,,46,0,46,CSCI,2020-08-28,2020-12-21,FALL 2020,26867,1100,06,CSCI-1100,Computer Science I,"An introduction to computer programming algorithm design and analysis. Additional topics include basic computer organization; internal representation of scalar and array data; use of top-down design and subprograms to tackle complex problems; abstract data types. Enrichment material as time allows. Interdisciplinary case studies, numerical and nonnumerical applications. Students who have passed CSCI 1200 cannot register for this course.",,"Fall, spring, and summer terms annually.",[],[]
COMPUTER SCIENCE I,LAB,4,W,12:00PM,1:50PM,Staff,,46,0,46,CSCI,2020-08-28,2020-12-21,FALL 2020,26867,1100,06,CSCI-1100,Computer Science I,"An introduction to computer programming algorithm design and analysis. Additional topics include basic computer organization; internal representation of scalar and array data; use of top-down design and subprograms to tackle complex problems; abstract data types. Enrichment material as time allows. Interdisciplinary case studies, numerical and nonnumerical applications. Students who have passed CSCI 1200 cannot register for this course.",,"Fall, spring, and summer terms annually.",[],[]
COMPUTER SCIENCE I,TES,4,R,6:00PM,7:50PM,Staff,,46,0,46,CSCI,2020-08-28,2020-12-21,FALL 2020,26867,1100,06,CSCI-1100,Computer Science I,"An introduction to computer programming algorithm design and analysis. Additional topics include basic computer organization; internal representation of scalar and array data; use of top-down design and subprograms to tackle complex problems; abstract data types. Enrichment material as time allows. Interdisciplinary case studies, numerical and nonnumerical applications. Students who have passed CSCI 1200 cannot register for this course.",,"Fall, spring, and summer terms annually.",[],[]
COMPUTER SCIENCE I,LEC,4,MR,2:00PM,3:20PM,Turner/Hulbert,,30,2,28,CSCI,2020-08-28,2020-12-21,FALL 2020,25565,1100,07,CSCI-1100,Computer Science I,"An introduction to computer programming algorithm design and analysis. Additional topics include basic computer organization; internal representation of scalar and array data; use of top-down design and subprograms to tackle complex problems; abstract data types. Enrichment material as time allows. Interdisciplinary case studies, numerical and nonnumerical applications. Students who have passed CSCI 1200 cannot register for this course.",,"Fall, spring, and summer terms annually.",[],[]
COMPUTER SCIENCE I,LAB,4,W,4:00PM,5:50PM,Staff,,30,2,28,CSCI,2020-08-28,2020-12-21,FALL 2020,25565,1100,07,CSCI-1100,Computer Science I,"An introduction to computer programming algorithm design and analysis. Additional topics include basic computer organization; internal representation of scalar and array data; use of top-down design and subprograms to tackle complex problems; abstract data types. Enrichment material as time allows. Interdisciplinary case studies, numerical and nonnumerical applications. Students who have passed CSCI 1200 cannot register for this course.",,"Fall, spring, and summer terms annually.",[],[]
